,EmployeeID,FirstName,LastName,Gender,RoleID,DepartmentID,HireDate,Tenure,ManagerID,LocationID,Salary,TrainingStatus,RetentionStatus,TimeToHire,NewHireFeedbackScore,OnboardingCost,OnboardingCompletionDate,TerminatedDate,TimeToProductivity,FirstMilestoneCompletion
36,37,Robert,Torres,Male,4,6,01/03/2024,0.83,46,2,76611,Completed,Yes,99,4,1945,16/03/2024,,106,09/05/2024
42,43,Sandra,White,Other,12,2,22/04/2024,0.68,40,2,70375,InProgress,Yes,98,1,4821,07/05/2024,06/06/2024,140,02/07/2024
84,85,Joshua,Jackson,Male,9,4,12/04/2023,1.72,37,1,51335,InProgress,Yes,97,4,2900,27/04/2023,,147,02/06/2023
85,86,Christian,Walker,Male,20,3,12/10/2023,1.21,1,2,69413,Completed,Yes,99,5,1858,27/10/2023,,34,23/12/2023
88,89,Paul,Harrington,Female,10,5,25/02/2025,-0.16,42,4,76930,Completed,Yes,99,0,2120,12/03/2025,,174,22/04/2025
104,105,Sara,Jones,Other,15,1,11/05/2023,1.64,44,4,78450,Completed,Yes,96,0,4168,26/05/2023,,31,14/08/2023
121,122,Daniel,Blair,Female,16,9,15/03/2024,0.79,23,1,54893,Completed,Yes,101,2,2535,30/03/2024,24/04/2024,114,03/06/2024
195,196,Jonathan,Gaines,Other,12,7,17/07/2023,1.45,44,3,75648,Completed,Yes,101,0,3056,01/08/2023,,89,28/08/2023
316,317,Brenda,Larsen,Female,14,5,10/05/2024,0.64,13,3,99139,Completed,Yes,100,2,4863,25/05/2024,30/07/2024,50,05/07/2024
418,419,Michael,Berger,Male,6,7,27/06/2024,0.50,2,2,61737,InProgress,Yes,102,5,2641,12/07/2024,28/08/2024,99,15/08/2024
419,420,Natalie,Townsend,Female,11,6,21/07/2024,0.44,31,5,81421,Completed,Yes,101,4,1038,05/08/2024,,163,26/09/2024
427,428,Jason,Wright,Female,8,4,17/07/2023,1.45,14,2,90895,Completed,No,101,0,4534,01/08/2023,,94,13/09/2023
434,435,Megan,Davis,Female,11,10,21/10/2024,0.19,37,4,98025,Completed,Yes,102,3,3505,05/11/2024,,178,03/12/2024
498,499,Michael,Moore,Male,2,9,29/09/2023,1.25,30,3,79118,InProgress,Yes,102,2,3399,14/10/2023,31/10/2023,89,19/11/2023
511,512,Aaron,Hall,Male,13,4,18/08/2024,0.36,14,1,73645,Completed,Yes,102,0,1202,02/09/2024,,64,24/10/2024
524,525,Jose,Miller,Other,9,6,22/08/2024,0.35,16,3,74137,Completed,Yes,102,3,3777,06/09/2024,,68,24/10/2024
525,526,Jessica,Burgess,Female,9,2,04/11/2023,1.15,15,1,80179,Completed,Yes,109,1,1884,19/11/2023,,133,05/01/2024
535,536,Daniel,Sullivan,Female,17,9,31/08/2024,0.33,16,3,63427,InProgress,Yes,109,4,1466,15/09/2024,,41,22/11/2024
612,613,Kristine,Hansen,Female,16,4,11/03/2024,0.80,26,3,86413,Completed,Yes,109,0,1594,26/03/2024,,87,12/05/2024
630,631,Michael,Smith,Other,11,8,08/12/2024,0.05,36,4,73624,Completed,No,109,3,3484,23/12/2024,,173,09/03/2025
687,688,Laura,Obrien,Other,9,10,05/04/2025,-0.27,42,4,81184,Completed,Yes,107,1,2800,20/04/2025,,57,21/06/2025
691,692,Nathan,Carney,Male,2,8,18/11/2023,1.11,5,1,60289,Completed,No,109,2,3933,03/12/2023,,64,06/02/2024
711,712,Jimmy,Davis,Female,14,2,05/02/2025,-0.11,50,3,78760,Completed,Yes,109,2,3804,20/02/2025,,60,22/03/2025
721,722,Frank,Tate,Male,18,3,30/09/2023,1.25,44,1,75096,Completed,Yes,109,0,1797,15/10/2023,,145,30/12/2023
741,742,Michael,Harrington,Male,20,10,12/11/2024,0.13,38,3,61885,Completed,Yes,109,5,2620,27/11/2024,,37,13/01/2025
781,782,Krista,Rodgers,Other,20,1,10/04/2024,0.72,26,3,80997,Completed,Yes,108,4,3510,25/04/2024,,84,14/06/2024
793,794,Brooke,Hamilton,Other,3,2,19/01/2024,0.94,30,2,79393,Completed,No,109,1,3254,03/02/2024,,124,11/03/2024
797,798,Robin,Carpenter,Other,1,5,01/11/2024,0.16,43,3,88914,InProgress,No,109,4,3373,16/11/2024,15/01/2025,71,14/01/2025
822,823,Meredith,Gibson,Male,10,1,26/02/2024,0.84,6,2,55613,Completed,Yes,112,2,4889,12/03/2024,,83,08/05/2024
839,840,Brandi,Ayala,Male,8,9,07/07/2024,0.48,12,3,52742,Completed,Yes,112,0,2120,22/07/2024,,32,21/08/2024
954,955,Allen,Gregory,Female,11,10,23/08/2024,0.35,26,4,80971,Completed,No,112,4,4658,07/09/2024,,169,25/10/2024
955,956,Lisa,Rollins,Female,1,2,24/07/2023,1.43,13,3,93161,Completed,No,111,2,1377,08/08/2023,,125,19/10/2023
972,973,Michael,Lewis,Other,18,7,07/11/2024,0.14,45,2,75934,Completed,Yes,112,1,3638,22/11/2024,,152,16/02/2025
974,975,Wanda,Montoya,Other,19,1,22/06/2023,1.52,6,5,65831,Completed,No,112,2,4232,07/07/2023,,98,11/09/2023
1009,1010,Frank,Freeman,Male,4,6,29/01/2024,0.92,43,3,85423,Completed,Yes,112,1,3371,13/02/2024,,116,25/04/2024
1045,1046,David,Doyle,Male,2,7,20/07/2024,0.44,24,5,97762,Completed,Yes,111,4,3237,04/08/2024,,109,19/09/2024
1050,1051,Elizabeth,Sullivan,Female,12,6,30/06/2024,0.50,22,5,75074,InProgress,Yes,112,4,1527,15/07/2024,,109,18/09/2024
1057,1058,Derek,Jacobson,Male,8,10,14/08/2024,0.37,15,5,55652,Completed,Yes,111,3,4069,29/08/2024,,33,08/11/2024
1065,1066,Perry,Hayden,Female,10,10,11/09/2024,0.30,20,1,79497,Completed,No,112,4,2421,26/09/2024,,178,23/11/2024
1165,1166,Brian,Walker,Female,2,3,09/03/2025,-0.19,13,4,73462,Completed,Yes,112,0,4138,24/03/2025,02/06/2025,166,12/06/2025
1201,1202,Dustin,Castillo,Other,17,3,27/05/2023,1.59,35,3,73535,Completed,Yes,120,2,1802,11/06/2023,09/07/2023,101,06/08/2023
1266,1267,Darius,Jackson,Female,11,7,03/09/2024,0.32,26,4,63594,Completed,Yes,122,5,1097,18/09/2024,,148,29/10/2024
1301,1302,Nicole,Walsh,Male,2,7,30/07/2023,1.42,8,2,68863,Completed,Yes,121,1,2836,14/08/2023,,155,14/09/2023
1340,1341,Shelly,Avila,Male,2,2,27/02/2024,0.84,30,4,56035,Completed,Yes,122,5,2148,13/03/2024,,107,16/05/2024
1367,1368,Robert,Fisher,Other,11,3,12/09/2024,0.29,42,5,73345,Completed,Yes,122,0,1290,27/09/2024,,122,29/11/2024
1381,1382,Erica,Jensen,Female,11,6,09/06/2024,0.55,41,5,60303,Completed,Yes,120,0,4484,24/06/2024,,175,11/09/2024
1385,1386,Felicia,Reese,Female,6,7,30/09/2023,1.25,36,3,54530,Completed,Yes,122,0,4640,15/10/2023,29/11/2023,127,12/11/2023
1407,1408,Robert,Hernandez,Other,12,9,27/05/2023,1.59,19,3,76579,Completed,Yes,120,0,2954,11/06/2023,,48,26/07/2023
1479,1480,Elizabeth,Hernandez,Female,5,3,22/09/2024,0.27,44,3,68238,InProgress,Yes,122,1,2887,07/10/2024,,93,29/11/2024
1530,1531,Ashley,Lee,Other,20,3,20/12/2023,1.02,49,1,97890,Completed,Yes,109,1,3919,04/01/2024,,87,06/03/2024
1531,1532,Kathryn,Miller,Other,2,8,10/03/2025,-0.20,29,3,51186,InProgress,Yes,110,4,2976,25/03/2025,,173,25/05/2025
1535,1536,Todd,Acosta,Female,11,10,30/08/2024,0.33,43,2,54040,Completed,Yes,110,2,1138,14/09/2024,,52,19/12/2024
